Read instance with 1003 players, 9913 conflicts, budget 65088
Max iterations = 1000
Seed = 1
Initial solution has 342 teams.
(0.062) New solution found in LS: 340 teams.

========== Current Solution ==========
Total teams: 340

Team    Budget         Players (id:salary)
--------------------------------------------------
0       100            1001, 396, 758, 351, 811, 597, 922, 863, 877, 982, 987, 992, 1002, 
1       40             153, 533, 968, 865, 
2       57             288, 462, 661, 827, 915, 847, 892, 
3       234            278, 556, 577, 667, 802, 995, 
4       94             143, 796, 692, 940, 944, 983, 991, 999, 
5       6              26, 601, 998, 
6       149            422, 457, 319, 985, 980, 989, 
7       64             65, 665, 832, 993, 1000, 
8       158            89, 733, 765, 855, 986, 
9       40             166, 487, 914, 
10      72             218, 428, 973, 
11      340            66, 581, 996, 
12      47             285, 361, 883, 
13      292            10, 710, 800, 
14      88             209, 477, 727, 997, 
15      146            412, 239, 852, 
16      20             88, 652, 739, 
17      430            174, 687, 599, 935, 
18      29             83, 696, 738, 984, 
19      29             513, 215, 768, 742, 990, 
20      146            372, 446, 424, 571, 830, 918, 
21      308            123, 711, 654, 994, 
22      592            441, 479, 381, 467, 743, 
23      104            62, 691, 853, 889, 
24      63             119, 606, 857, 860, 
25      236            55, 658, 826, 
26      66             11, 660, 975, 
27      173            107, 720, 712, 844, 
28      139            337, 458, 459, 515, 951, 
29      274            30, 625, 988, 
30      524            22, 779, 716, 
31      356            7, 686, 884, 
32      484            159, 541, 881, 878, 
33      4              163, 640, 849, 719, 981, 
34      868            25, 699, 856, 
35      194            294, 380, 702, 886, 
36      940            290, 402, 630, 
37      209            142, 544, 789, 
38      103            172, 466, 
39      550            75, 611, 912, 
40      790            342, 345, 539, 974, 
41      120            160, 638, 709, 963, 955, 
42      260            255, 436, 737, 778, 
43      300            269, 377, 960, 
44      19             261, 550, 530, 761, 962, 
45      408            272, 369, 
46      696            128, 603, 746, 
47      860            328, 332, 872, 899, 
48      644            136, 531, 933, 
49      265            54, 662, 819, 
50      538            161, 602, 681, 
51      676            71, 620, 924, 
52      24             277, 370, 979, 
53      358            100, 567, 948, 
54      801            226, 443, 763, 
55      792            224, 455, 798, 906, 
56      129            230, 626, 549, 788, 943, 
57      308            63, 607, 961, 
58      20             69, 664, 875, 927, 
59      8              15, 714, 885, 897, 
60      120            9, 735, 748, 
61      361            177, 510, 736, 
62      36             24, 717, 851, 903, 
63      317            207, 554, 588, 
64      42             211, 435, 942, 
65      750            49, 648, 928, 
66      742            51, 594, 
67      824            259, 382, 
68      21             104, 551, 978, 
69      515            358, 360, 475, 799, 817, 
70      188            191, 502, 841, 787, 
71      871            234, 403, 
72      887            282, 397, 682, 
73      1060           271, 491, 540, 808, 
74      240            231, 512, 580, 936, 
75      334            18, 669, 953, 
76      48             296, 350, 921, 
77      720            258, 501, 505, 
78      72             317, 343, 707, 958, 
79      616            121, 516, 
80      902            164, 482, 
81      1043           225, 468, 706, 
82      477            202, 433, 
83      416            175, 523, 728, 
84      895            206, 598, 561, 
85      517            40, 668, 882, 
86      884            291, 386, 695, 
87      362            236, 521, 520, 
88      83             204, 494, 834, 840, 970, 
89      279            180, 453, 
90      23             59, 609, 920, 
91      168            146, 560, 831, 937, 
92      6              45, 616, 971, 
93      29             152, 547, 880, 867, 
94      352            203, 456, 821, 
95      976            90, 564, 
96      304            321, 390, 480, 
97      332            244, 395, 
98      732            270, 426, 629, 
99      50             139, 528, 842, 
100     18             13, 730, 740, 
101     198            115, 587, 771, 
102     670            110, 532, 
103     186            0, 697, 861, 
104     180            295, 416, 546, 887, 
105     851            196, 473, 812, 
106     36             247, 461, 677, 848, 
107     169            293, 365, 820, 895, 
108     24             228, 486, 698, 829, 
109     209            41, 584, 
110     186            117, 574, 805, 
111     398            279, 440, 524, 
112     520            311, 333, 753, 
113     364            3, 689, 904, 
114     495            233, 414, 925, 
115     56             198, 470, 772, 
116     1034           12, 649, 
117     627            81, 595, 966, 
118     15             214, 543, 572, 
119     9              325, 341, 673, 
120     612            84, 557, 
121     61             120, 555, 843, 
122     188            384, 417, 393, 666, 898, 
123     686            112, 589, 824, 
124     107            199, 504, 726, 905, 
125     78             216, 449, 751, 
126     762            68, 578, 
127     481            208, 497, 744, 890, 
128     726            194, 509, 752, 931, 
129     702            106, 537, 
130     158            254, 383, 
131     26             394, 260, 810, 
132     464            94, 545, 
133     175            124, 750, 674, 866, 
134     108            221, 437, 793, 
135     726            241, 409, 969, 
136     402            111, 754, 678, 949, 
137     997            171, 476, 
138     144            280, 444, 705, 759, 749, 
139     119            141, 722, 762, 825, 784, 
140     281            114, 548, 941, 
141     34             95, 659, 813, 894, 
142     244            192, 439, 
143     728            265, 378, 
144     492            246, 399, 972, 
145     10             304, 387, 636, 870, 
146     440            313, 367, 600, 930, 
147     1067           249, 431, 718, 
148     328            109, 525, 
149     832            248, 392, 
150     358            348, 347, 492, 
151     542            37, 684, 859, 
152     496            134, 624, 806, 836, 
153     79             47, 783, 715, 976, 
154     550            105, 656, 729, 
155     8              29, 637, 954, 
156     381            257, 478, 653, 724, 
157     93             170, 506, 794, 
158     333            339, 306, 946, 
159     49             167, 481, 977, 
160     155            201, 432, 
161     996            213, 511, 671, 
162     528            39, 767, 769, 910, 
163     318            43, 694, 775, 
164     221            398, 356, 411, 776, 896, 
165     258            190, 507, 773, 893, 
166     906            235, 463, 756, 795, 
167     330            61, 618, 956, 
168     384            97, 596, 835, 
169     1058           302, 357, 734, 
170     72             286, 389, 782, 804, 
171     454            157, 655, 627, 
172     168            103, 605, 777, 
173     582            57, 586, 
174     114            52, 633, 873, 
175     189            238, 471, 672, 929, 
176     562            327, 334, 755, 850, 
177     904            346, 298, 
178     606            379, 442, 415, 565, 747, 
179     352            56, 579, 
180     179            220, 447, 757, 
181     814            6, 646, 
182     640            58, 642, 908, 
183     737            98, 650, 764, 
184     436            82, 651, 781, 
185     80             35, 634, 950, 
186     128            1, 700, 838, 
187     55             284, 354, 957, 
188     1075           276, 499, 474, 
189     358            86, 585, 932, 
190     292            20, 608, 
191     236            14, 685, 854, 
192     700            80, 566, 
193     334            151, 488, 
194     894            323, 355, 575, 
195     21             308, 452, 485, 816, 967, 
196     145            4, 621, 
197     124            116, 570, 815, 
198     31             36, 641, 913, 
199     738            154, 536, 809, 
200     260            185, 448, 
201     32             85, 590, 868, 
202     304            182, 450, 
203     178            315, 368, 613, 803, 
204     10             263, 413, 693, 
205     302            145, 522, 862, 
206     569            122, 582, 801, 
207     73             131, 517, 938, 
208     1026           222, 438, 846, 
209     824            34, 619, 
210     26             162, 519, 874, 916, 
211     96             281, 353, 
212     799            316, 359, 573, 
213     900            283, 373, 891, 
214     124            274, 407, 708, 909, 
215     1127           91, 644, 828, 
216     794            149, 493, 
217     327            320, 340, 721, 907, 
218     1110           307, 352, 845, 
219     1104           155, 529, 869, 
220     332            108, 604, 780, 
221     124            102, 526, 
222     699            223, 464, 704, 
223     638            28, 612, 
224     496            303, 375, 680, 
225     774            318, 336, 732, 959, 
226     928            44, 675, 917, 
227     243            189, 469, 871, 
228     52             217, 429, 965, 
229     938            173, 670, 676, 901, 
230     248            243, 405, 926, 
231     416            176, 460, 
232     256            256, 391, 952, 
233     1104           324, 366, 569, 
234     4              300, 349, 919, 
235     633            184, 451, 
236     522            219, 489, 760, 797, 
237     368            178, 632, 643, 902, 
238     442            46, 591, 
239     492            245, 419, 745, 
240     284            8, 622, 
241     1062           16, 647, 
242     56             42, 657, 837, 
243     196            299, 364, 703, 
244     1032           266, 423, 683, 
245     31             60, 568, 
246     980            118, 563, 939, 
247     328            17, 679, 947, 
248     773            240, 425, 790, 
249     544            158, 538, 766, 
250     677            87, 558, 
251     62             297, 420, 490, 
252     980            129, 593, 785, 
253     342            132, 542, 839, 
254     1113           292, 483, 535, 792, 807, 
255     476            183, 576, 631, 
256     942            140, 639, 701, 
257     158            78, 617, 833, 
258     202            50, 623, 934, 
259     591            252, 410, 774, 
260     168            73, 592, 964, 
261     905            250, 484, 635, 818, 
262     969            264, 508, 498, 
263     289            197, 503, 688, 
264     966            179, 495, 823, 
265     680            31, 614, 
266     150            79, 553, 
267     364            310, 371, 645, 
268     130            133, 527, 900, 
269     750            156, 514, 864, 
270     326            229, 427, 858, 
271     437            262, 408, 731, 
272     996            126, 628, 741, 
273     178            169, 610, 822, 786, 888, 
274     290            232, 400, 
275     994            92, 562, 
276     243            322, 374, 615, 911, 876, 
277     392            113, 518, 
278     1130           5, 663, 
279     697            195, 583, 690, 791, 
280     82             101, 559, 945, 
281     370            27, 713, 879, 923, 
282     1768           287, 363, 
283     586            21, 723, 770, 
284     1450           127, 534, 
285     1827           309, 335, 
286     814            144, 500, 
287     2526           70, 725, 814, 
288     865            99, 552, 
289     7960           312, 362, 
290     1304           187, 465, 
291     1284           237, 406, 
292     7454           38, 
293     984            210, 434, 
294     8189           64, 
295     9336           96, 
296     7096           23, 
297     5090           205, 496, 
298     11896          150, 
299     8668           77, 
300     204            165, 472, 
301     10945          130, 
302     432            181, 454, 
303     7876           53, 
304     8589           76, 
305     1100           338, 301, 
306     2229           267, 388, 
307     11164          135, 
308     9717           275, 445, 
309     7728           48, 
310     283            330, 326, 
311     11280          137, 
312     11535          305, 418, 
313     9116           93, 
314     8288           67, 
315     2850           253, 404, 
316     10480          125, 
317     6532           2, 
318     1280           273, 376, 
319     7312           32, 
320     1794           227, 421, 
321     13024          168, 
322     15370          193, 
323     8549           74, 
324     4658           289, 385, 
325     5298           314, 344, 
326     15824          200, 
327     6940           19, 
328     11704          148, 
329     11640          147, 
330     8467           72, 
331     3882           242, 430, 
332     4434           268, 401, 
333     14450          186, 
334     7331           33, 
335     14496          188, 
336     1131           329, 331, 
337     20888          251, 
338     16506          212, 
339     11388          138, 
======================================

Time limit of 300s reached.

