Read instance with 471 players, 891 conflicts, budget 2000
Max iterations = 1000
Seed = 1
Initial solution has 104 teams.
(0.155) New solution found in LS: 103 teams.

========== Current Solution ==========
Total teams: 103

Team    Budget         Players (id:salary)
--------------------------------------------------
0       31             218, 324, 12, 0, 23, 51, 146, 
1       18             82, 144, 151, 35, 72, 90, 61, 
2       15             113, 319, 286, 7, 142, 54, 
3       40             160, 101, 76, 307, 361, 
4       71             1, 45, 46, 422, 141, 253, 
5       28             37, 332, 166, 453, 26, 
6       65             190, 13, 388, 4, 117, 180, 
7       22             80, 321, 349, 456, 
8       29             170, 246, 8, 196, 2, 396, 
9       0              281, 31, 9, 3, 434, 118, 5, 
10      2              10, 38, 344, 65, 139, 257, 
11      74             64, 58, 57, 112, 188, 6, 198, 
12      147            97, 432, 178, 385, 
13      54             427, 75, 397, 22, 89, 
14      22             62, 266, 66, 184, 438, 
15      39             323, 125, 24, 109, 149, 71, 
16      111            363, 143, 264, 354, 
17      1              59, 335, 206, 261, 172, 
18      8              250, 425, 88, 229, 49, 
19      22             134, 194, 165, 205, 92, 27, 
20      55             86, 302, 355, 238, 14, 
21      187            437, 342, 11, 273, 
22      161            78, 201, 100, 93, 419, 
23      64             119, 377, 348, 320, 
24      54             284, 469, 315, 110, 
25      39             347, 406, 263, 177, 
26      75             268, 325, 343, 214, 
27      34             279, 150, 154, 230, 174, 
28      87             236, 345, 326, 242, 
29      101            234, 327, 433, 137, 
30      29             226, 373, 189, 421, 
31      110            87, 439, 308, 290, 
32      65             384, 224, 98, 460, 
33      36             129, 168, 130, 68, 248, 55, 
34      6              115, 316, 418, 389, 
35      68             440, 63, 212, 450, 
36      20             399, 367, 84, 381, 
37      64             317, 15, 259, 222, 155, 
38      86             240, 270, 145, 18, 267, 
39      54             228, 306, 371, 275, 
40      36             462, 233, 331, 164, 
41      129            378, 351, 352, 32, 
42      19             111, 463, 17, 215, 210, 
43      76             41, 410, 368, 360, 
44      87             277, 173, 19, 318, 156, 
45      75             107, 287, 60, 394, 123, 
46      3              470, 203, 120, 430, 
47      27             211, 449, 359, 186, 
48      58             296, 457, 376, 47, 
49      61             103, 91, 153, 219, 56, 152, 
50      79             133, 28, 21, 294, 52, 239, 
51      43             50, 260, 408, 122, 147, 
52      189            42, 429, 401, 187, 
53      3              391, 258, 298, 282, 
54      29             280, 40, 428, 25, 249, 
55      34             83, 446, 271, 407, 
56      11             116, 366, 415, 127, 16, 
57      46             136, 455, 448, 131, 
58      0              81, 411, 158, 372, 29, 
59      141            452, 375, 36, 231, 
60      5              330, 288, 232, 380, 
61      50             358, 183, 272, 95, 79, 
62      33             340, 262, 208, 395, 
63      22             244, 20, 334, 33, 67, 126, 
64      69             403, 73, 445, 252, 
65      29             283, 44, 179, 202, 295, 
66      44             278, 181, 227, 251, 53, 
67      4              225, 341, 200, 461, 
68      1              48, 94, 167, 312, 426, 
69      10             182, 390, 413, 245, 
70      5              276, 338, 299, 314, 
71      31             197, 169, 365, 195, 85, 
72      56             383, 412, 70, 328, 
73      68             379, 386, 157, 243, 
74      48             247, 304, 337, 297, 
75      49             43, 369, 392, 400, 
76      44             135, 162, 221, 370, 106, 
77      115            207, 256, 39, 393, 30, 
78      90             431, 398, 108, 223, 
79      13             96, 417, 199, 175, 140, 
80      77             99, 241, 300, 104, 216, 
81      25             454, 124, 313, 301, 
82      4              237, 235, 409, 362, 
83      81             402, 148, 305, 293, 
84      65             285, 213, 128, 34, 303, 
85      62             451, 441, 171, 102, 
86      170            204, 291, 424, 138, 
87      6              269, 405, 346, 209, 
88      241            121, 69, 387, 420, 
89      38             309, 458, 353, 74, 
90      33             467, 254, 274, 193, 
91      102            414, 77, 339, 310, 
92      139            447, 442, 404, 
93      48             336, 265, 423, 159, 
94      282            292, 465, 382, 
95      1              192, 436, 435, 163, 
96      116            176, 114, 466, 356, 
97      46             468, 444, 459, 
98      115            364, 350, 191, 217, 
99      4              443, 329, 105, 357, 
100     50             464, 333, 220, 161, 
101     82             311, 289, 416, 132, 
102     87             374, 322, 255, 185, 
======================================

Time limit of 300s reached.

ILS finished after 60114 iterations.
Final solution uses 103 teams.
