instance,initial_solution,intermediate_solutions_number,final_solution,iterations,equivalent_time,seed,perturbation_ratio
instances/04.txt,57,1,55,36960,300,2,0
instances/05.txt,104,1,103,5796,300,2,0
instances/06.txt,110,1,108,9585,300,2,0
instances/07.txt,207,1,206,1469,300,2,0
instances/08.txt,219,1,217,2450,300,2,0
instances/09.txt,342,1,339,600,300,2,0
instances/10.txt,341,1,338,609,300,2,0
instances/01.txt,27,1,26,86807,300,2,0
instances/02.txt,29,1,27,128661,300,2,0
instances/03.txt,52,1,51,20418,300,2,0
instances/04.txt,57,1,55,37388,300,2,0
instances/05.txt,104,1,103,5763,300,2,0
instances/06.txt,110,1,108,9622,300,2,0
instances/07.txt,207,1,206,1450,300,2,0
instances/08.txt,219,1,217,2423,300,2,0
instances/09.txt,342,1,339,601,300,2,0
instances/10.txt,341,1,338,615,300,2,0
instances/01.txt,27,1,26,87617,300,3,0
instances/02.txt,28,1,27,130918,300,3,0
instances/03.txt,52,0,52,19331,300,3,0
instances/04.txt,57,1,55,37079,300,3,0
instances/05.txt,105,2,103,5646,300,3,0
instances/06.txt,110,0,110,9112,300,3,0
instances/07.txt,207,1,206,1473,300,3,0
instances/08.txt,220,1,217,2446,300,3,0
instances/09.txt,341,1,336,612,300,3,0
instances/10.txt,343,1,339,560,300,3,0
instances/01.txt,27,1,26,86027,300,3,0
instances/02.txt,28,1,27,133096,300,3,0
instances/03.txt,52,0,52,19291,300,3,0
instances/04.txt,57,1,55,37153,300,3,0
instances/05.txt,105,2,103,5834,300,3,0
instances/06.txt,110,0,110,9099,300,3,0
instances/07.txt,207,1,206,1442,300,3,0
instances/08.txt,220,1,217,2461,300,3,0
instances/09.txt,341,1,336,613,300,3,0
instances/10.txt,343,1,339,564,300,3,0
instances/01.txt,26,0,26,87436,300,4,0
instances/02.txt,29,1,28,139054,300,4,0
instances/03.txt,52,1,51,22663,300,4,0
instances/04.txt,57,1,55,36844,300,4,0
instances/05.txt,104,1,103,5697,300,4,0
instances/06.txt,111,1,109,9458,300,4,0
instances/07.txt,207,1,206,1475,300,4,0
instances/08.txt,222,1,218,2408,300,4,0
instances/09.txt,342,1,339,601,300,4,0
instances/10.txt,340,1,337,520,300,4,0
instances/01.txt,26,0,26,88352,300,4,0
instances/02.txt,29,1,28,138707,300,4,0
instances/03.txt,52,1,51,22506,300,4,0
instances/04.txt,57,1,55,35985,300,4,0
instances/05.txt,104,1,103,5699,300,4,0
instances/06.txt,111,1,109,9466,300,4,0
instances/07.txt,207,1,206,1441,300,4,0
instances/08.txt,222,1,218,2396,300,4,0
instances/09.txt,342,1,339,585,300,4,0
instances/10.txt,340,1,337,510,300,4,0
instances/01.txt,27,1,26,84400,300,5,0
instances/02.txt,29,0,29,127050,300,5,0
instances/03.txt,52,1,51,20866,300,5,0
instances/04.txt,59,1,55,35830,300,5,0
instances/05.txt,104,1,103,5535,300,5,0
instances/06.txt,110,2,108,9550,300,5,0
instances/07.txt,207,1,206,1316,300,5,0
instances/08.txt,220,1,215,2471,300,5,0
instances/09.txt,341,1,337,561,300,5,0
instances/10.txt,343,1,339,589,300,5,0
instances/01.txt,27,1,26,83331,300,5,0
instances/02.txt,29,0,29,127210,300,5,0
instances/03.txt,52,1,51,20671,300,5,0
instances/04.txt,59,1,55,36596,300,5,0
instances/05.txt,104,1,103,5695,300,5,0
instances/06.txt,110,2,108,9437,300,5,0
instances/07.txt,207,1,206,1308,300,5,0
instances/08.txt,220,1,215,2431,300,5,0
instances/09.txt,341,1,337,570,300,5,0
instances/10.txt,343,1,339,589,300,5,0
