instance,initial_solution,intermediate_solutions_number,final_solution,iterations,equivalent_time,seed,perturbation_ratio
instances/04.txt,58,1,54,33689,300,1,0.3
instances/05.txt,104,2,102,4547,300,1,0.3
instances/06.txt,110,2,107,8780,300,1,0.3
instances/07.txt,207,2,205,1024,300,1,0.3
instances/08.txt,221,1,216,2297,300,1,0.3
instances/09.txt,342,1,338,621,300,1,0.3
instances/10.txt,342,1,338,599,300,1,0.3
instances/01.txt,27,1,26,85921,300,2,0.15
instances/02.txt,29,2,26,123128,300,2,0.15
instances/03.txt,52,1,51,18715,300,2,0.15
instances/04.txt,57,3,53,33807,300,2,0.15
instances/05.txt,104,2,102,4589,300,2,0.15
instances/06.txt,110,1,108,8434,300,2,0.15
instances/07.txt,207,2,205,1013,300,2,0.15
instances/08.txt,219,1,217,2202,300,2,0.15
instances/09.txt,342,1,339,555,300,2,0.15
instances/10.txt,341,1,338,576,300,2,0.15
instances/01.txt,27,1,26,82415,300,2,0.3
instances/02.txt,29,1,27,118458,300,2,0.3
instances/03.txt,52,1,51,18241,300,2,0.3
instances/04.txt,57,2,54,33972,300,2,0.3
instances/05.txt,104,2,102,4556,300,2,0.3
instances/06.txt,110,1,108,8764,300,2,0.3
instances/07.txt,207,2,205,1044,300,2,0.3
instances/08.txt,219,1,217,2304,300,2,0.3
instances/09.txt,342,1,339,623,300,2,0.3
instances/10.txt,341,1,338,618,300,2,0.3
instances/01.txt,27,1,26,88797,300,3,0.15
instances/02.txt,28,1,27,130286,300,3,0.15
instances/03.txt,52,1,51,18941,300,3,0.15
instances/04.txt,57,2,54,34100,300,3,0.15
instances/05.txt,105,3,102,4626,300,3,0.15
instances/06.txt,110,1,109,8895,300,3,0.15
instances/07.txt,207,2,205,1090,300,3,0.15
instances/08.txt,220,1,217,2287,300,3,0.15
instances/09.txt,341,1,336,610,300,3,0.15
instances/10.txt,343,1,339,577,300,3,0.15
instances/01.txt,27,1,26,80497,300,3,0.3
instances/02.txt,28,1,27,106481,300,3,0.3
instances/03.txt,52,1,51,15765,300,3,0.3
instances/04.txt,57,3,53,28812,300,3,0.3
instances/05.txt,105,3,102,4304,300,3,0.3
instances/06.txt,110,2,108,8025,300,3,0.3
instances/07.txt,207,2,205,1013,300,3,0.3
instances/08.txt,220,1,217,2128,300,3,0.3
instances/09.txt,341,1,336,532,300,3,0.3
instances/10.txt,343,1,339,552,300,3,0.3
instances/01.txt,26,0,26,78799,300,4,0.15
instances/02.txt,29,2,27,116480,300,4,0.15
instances/03.txt,52,1,51,18091,300,4,0.15
instances/04.txt,57,2,54,32512,300,4,0.15
instances/05.txt,104,2,102,4525,300,4,0.15
instances/06.txt,111,1,109,7838,300,4,0.15
instances/07.txt,207,2,205,1020,300,4,0.15
instances/08.txt,222,1,218,2207,300,4,0.15
