Read instance with 1003 players, 9913 conflicts, budget 65088
Max iterations = 1000
Seed = 1
Initial solution has 342 teams.
(0.566) New solution found in LS: 338 teams.

========== Current Solution ==========
Total teams: 338

Team    Budget         Players (id:salary)
207     824            34, 619, 
208     26             162, 519, 874, 916, 
209     96             281, 353, 
210     799            316, 359, 573, 
211     900            283, 373, 891, 
212     124            274, 407, 708, 909, 
213     7              91, 644, 828, 968, 
214     794            149, 493, 
215     327            320, 340, 721, 907, 
216     1110           307, 352, 845, 
217     1104           155, 529, 869, 
218     332            108, 604, 780, 
219     124            102, 526, 
220     699            223, 464, 704, 
221     638            28, 612, 
222     496            303, 375, 680, 
223     774            318, 336, 732, 959, 
224     928            44, 675, 917, 
225     243            189, 469, 871, 
226     52             217, 429, 965, 
227     938            173, 670, 676, 901, 
228     248            243, 405, 926, 
229     416            176, 460, 
230     256            256, 391, 952, 
231     1104           324, 366, 569, 
232     4              300, 349, 919, 
233     633            184, 451, 
234     522            219, 489, 760, 797, 
235     368            178, 632, 643, 902, 
236     442            46, 591, 
237     492            245, 419, 745, 
238     284            8, 622, 
239     1062           16, 647, 
240     56             42, 657, 837, 
241     196            299, 364, 703, 
242     1032           266, 423, 683, 
243     31             60, 568, 
244     980            118, 563, 939, 
245     328            17, 679, 947, 
246     773            240, 425, 790, 
247     544            158, 538, 766, 
248     677            87, 558, 
249     62             297, 420, 490, 
250     980            129, 593, 785, 
251     342            132, 542, 839, 
252     1113           292, 483, 535, 792, 807, 
253     476            183, 576, 631, 
254     942            140, 639, 701, 
255     158            78, 617, 833, 
256     202            50, 623, 934, 
257     591            252, 410, 774, 
258     168            73, 592, 964, 
259     905            250, 484, 635, 818, 
260     969            264, 508, 498, 
261     289            197, 503, 688, 
262     966            179, 495, 823, 
263     680            31, 614, 
264     150            79, 553, 
265     364            310, 371, 645, 
266     130            133, 527, 900, 
267     750            156, 514, 864, 
268     326            229, 427, 858, 
269     437            262, 408, 731, 
270     996            126, 628, 741, 
271     178            169, 610, 822, 786, 888, 
272     290            232, 400, 
273     994            92, 562, 
274     243            322, 374, 615, 911, 876, 
275     392            113, 518, 
276     1130           5, 663, 
277     697            195, 583, 690, 791, 
278     82             101, 559, 945, 
279     370            27, 713, 879, 923, 
280     456            287, 363, 922, 
281     586            21, 723, 770, 
282     122            127, 534, 918, 
283     115            309, 335, 863, 
284     814            144, 500, 
285     104            70, 725, 758, 877, 
286     865            99, 552, 
287     632            312, 362, 811, 865, 827, 915, 
288     1304           187, 465, 
289     1284           237, 406, 
290     458            38, 597, 
291     984            210, 434, 
292     1133           64, 892, 661, 
293     137            96, 533, 
294     2872           23, 847, 802, 
295     5090           205, 496, 
296     4034           150, 571, 
297     1070           77, 577, 
298     2076           165, 667, 666, 
299     2563           130, 556, 
300     432            181, 454, 
301     7876           53, 
302     8589           76, 
303     1100           338, 301, 
304     2229           267, 388, 
305     11164          135, 
306     9717           275, 445, 
307     7728           48, 
308     283            330, 326, 
309     11280          137, 
310     11535          305, 418, 
311     9116           93, 
312     8288           67, 
313     2850           253, 404, 
314     10480          125, 
315     6532           2, 
316     1280           273, 376, 
317     7312           32, 
318     1794           227, 421, 
319     982            168, 479, 
320     2165           193, 462, 
321     8549           74, 
322     6266           289, 396, 
323     6080           314, 351, 
324     1523           200, 446, 
325     6940           19, 
326     11704          148, 
327     11640          147, 
328     8467           72, 
329     3433           242, 424, 
330     1649           268, 381, 
331     1417           186, 467, 
332     7331           33, 
333     14496          188, 
334     403            329, 441, 417, 
335     1080           251, 393, 
336     16506          212, 
337     11388          138, 
======================================

Time limit of 300s reached.

ILS finished after 356 iterations.
Final solution uses 338 teams.
