Read instance with 1002 players, 9911 conflicts, budget 65088
Max iterations = 1000
Seed = 1
Initial solution has 342 teams.
(0.845) New solution found in LS: 338 teams.

========== Current Solution ==========
Total teams: 338

Team    Budget         Players (id:salary)
--------------------------------------------------
0       512            154, 666, 984, 939, 1000, 1001, 710, 
1       1093           202, 539, 690, 967, 
2       86             186, 456, 985, 
3       19             142, 634, 732, 839, 
4       81             240, 568, 499, 993, 994, 
5       2              88, 600, 873, 998, 997, 
6       146            297, 360, 764, 971, 
7       75             139, 614, 759, 854, 
8       120            266, 664, 486, 757, 801, 
9       196            174, 565, 726, 882, 
10      135            284, 444, 512, 988, 
11      4              317, 331, 972, 
12      146            5, 738, 841, 934, 
13      222            212, 433, 989, 
14      168            215, 671, 686, 687, 888, 
15      108            214, 598, 745, 793, 742, 992, 
16      180            17, 681, 891, 
17      7              44, 625, 903, 
18      58             375, 289, 852, 981, 
19      65             145, 557, 856, 974, 996, 
20      48             80, 567, 987, 
21      237            119, 631, 822, 848, 
22      198            1, 624, 
23      40             105, 612, 877, 949, 999, 
24      140            116, 551, 880, 
25      25             458, 279, 492, 991, 
26      84             137, 540, 806, 
27      123            306, 426, 527, 819, 990, 
28      110            294, 455, 646, 685, 788, 995, 
29      70             163, 487, 979, 
30      196            250, 415, 744, 
31      427            218, 443, 807, 
32      136            242, 647, 724, 640, 703, 
33      530            35, 601, 
34      159            60, 683, 881, 950, 
35      47             260, 409, 760, 983, 
36      607            86, 555, 
37      172            118, 538, 962, 
38      297            217, 591, 610, 887, 897, 
39      367            131, 531, 910, 
40      73             130, 517, 954, 
41      516            140, 602, 708, 
42      722            247, 421, 736, 
43      202            144, 642, 769, 913, 917, 
44      448            160, 713, 653, 795, 
45      0              75, 931, 630, 960, 
46      488            236, 422, 895, 932, 
47      58             368, 341, 680, 550, 986, 
48      614            30, 818, 762, 871, 
49      289            136, 526, 898, 
50      860            321, 359, 669, 953, 935, 
51      278            291, 431, 717, 734, 761, 
52      91             201, 442, 982, 
53      543            54, 692, 777, 
54      520            187, 475, 874, 
55      92             206, 474, 727, 
56      47             115, 581, 884, 942, 
57      72             191, 490, 716, 
58      765            179, 465, 
59      113            303, 365, 725, 926, 
60      992            253, 404, 850, 
61      263            151, 659, 637, 
62      640            188, 451, 
63      284            270, 372, 
64      518            39, 597, 
65      843            322, 388, 495, 
66      256            79, 553, 
67      717            261, 402, 896, 902, 
68      703            335, 316, 693, 
69      144            102, 573, 861, 
70      24             292, 396, 689, 798, 
71      559            192, 504, 816, 823, 
72      106            265, 503, 520, 840, 
73      212            224, 410, 
74      638            175, 507, 786, 
75      28             190, 453, 980, 
76      635            204, 645, 560, 925, 
77      661            198, 452, 937, 
78      588            232, 668, 706, 701, 694, 
79      307            349, 305, 875, 
80      111            181, 592, 608, 
81      242            290, 362, 867, 
82      504            226, 459, 747, 959, 
83      179            229, 485, 765, 830, 859, 
84      254            92, 579, 922, 
85      416            149, 627, 682, 
86      296            81, 586, 952, 
87      808            78, 628, 866, 
88      82             320, 347, 665, 
89      360            225, 464, 696, 
90      122            11, 613, 
91      50             138, 676, 688, 955, 
92      157            27, 594, 
93      648            57, 648, 889, 
94      583            171, 672, 731, 833, 860, 
95      630            245, 408, 878, 
96      494            28, 920, 662, 
97      557            237, 430, 750, 
98      97             120, 554, 847, 
99      226            173, 489, 886, 
100     519            231, 416, 936, 
101     964            185, 588, 629, 
102     49             153, 496, 975, 
103     40             112, 623, 804, 919, 
104     688            234, 469, 720, 828, 
105     134            69, 599, 924, 
106     540            50, 663, 843, 
107     39             94, 534, 
108     320            64, 620, 894, 
109     666            15, 763, 829, 921, 
110     268            203, 508, 704, 970, 
111     202            384, 340, 468, 813, 904, 
112     321            228, 432, 824, 
113     108            221, 438, 792, 
